Tree;Elev.;Temp.;Hum.;DBH;Abd;Rch;Bark;Cnp;Epi;D_Mean;Scarabidae_1;Scarabidae_2;Scarabidae_3;Chrysomelidae_1;Chrysomelidae_2;Chrysomelidae_3;Chrysomelidae_4;Chrysomelidae_5;Chrysomelidae_6;Chrysomelidae_7;Chrysomelidae_8;Chrysomelidae_9;Chrysomelidae_11;Chrysomelidae_12;Chrysomelidae_13;Chrysomelidae_14;Chrysomelidae_15;Chrysomelidae_16;Chrysomelidae_17;Chrysomelidae_18;Chrysomelidae_19;Coccinellidae_1;Coccinellidae_2;Chantharidae_1;Tenebrionidae_1;Other_1;Lycidae_1;Elateroidea_1;Elateroidea_2;Scarabidae_5;Scarabidae_4;Curculionoidea_1
Tree_11;1676.0;10.8;100;19;5;8;2;1;1;3;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
Tree_12;1698.0;12;100;8.9;0;0;3;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_13;1681.0;16.2;95.1;22;4;2;3;1;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Tree_14;1683.0;11;100;25.3;2;1;3;1;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_15;1463.0;13.1;79.8;14.459;2;1;3;2;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_16;1464.0;12.7;85.8;13.471;1;1;3;2;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_17;1464.0;13.2;88.3;21.115;1;1;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_18;1463.0;11.6;88.2;9.268;0;0;2;2;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_19;1477.0;11.8;84.5;14.45;2;2;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_20;1477.0;12.3;92;14.236;0;0;3;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_21;1484.0;11.5;96.9;6.847;0;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_22;1485.0;11.1;98.1;12.643;0;0;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_23;1497.0;16.4;78.8;12.58;2;2;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Tree_24;1497.0;16.4;78.8;17.812;2;2;3;1;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_25;1496.0;18;75.3;11.37;3;3;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Tree_26;1499.0;16.4;73.3;12.23;3;3;1;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_27;1499.0;18.1;51.7;5.73;0;0;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_28;1499.0;18.1;51.7;8.41;2;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Tree_29;1494.0;18.8;80.2;10.76;1;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Tree_30;1496.0;16.2;63.3;17.68;1;1;1;1;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Tree_31;1755;14.6;80;25.3;1;1;3;2;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_32;1754;17.2;68.3;9.5;2;1;3;2;1;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_33;1753;16.4;56.8;13.9;6;3;2;1;1;3;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Tree_34;1750;20.3;66.3;12.5;0;0;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_35;1749;19.3;73.2;25.6;2;2;3;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Tree_36;1749;20.1;59.2;14.7;3;3;3;2;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Tree_37;1746;19.7;54.8;22.8;1;1;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Tree_38;1744;22.4;55.6;13.4;1;1;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Tree_39;1743;16.2;54.7;20.5;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Tree_40;1746;20.9;48;22.5;2;2;3;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Tree_41;1743;22.2;44.7;19.6;8;5;2;1;2;3;1;0;0;0;0;0;1;0;0;0;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Tree_42;1742;23.9;44;23.2;3;3;3;2;2;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Tree_43;1744;22.6;41.9;27.2;0;0;3;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_44;1760;22.6;39.9;12.2;6;6;1;1;1;3;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
Tree_45;1759;22.1;44.4;17;6;2;3;2;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Tree_46;1758;22.3;43.3;16.2;2;2;3;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Tree_47;1758;22.2;40.9;30.3;2;2;3;2;2;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_48;1757;22;45.8;40.5;1;1;3;2;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_49;1757;20.9;43;21.5;2;1;3;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tree_50;1759;23.6;46.3;19.3;5;4;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Tree_51;1761;22.9;43.3;9.5;4;3;1;1;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
Tree_52;1761;25.4;40.3;19;3;3;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Tree_53;1759;21.7;47.8;22;9;4;2;1;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1
Tree_54;1759;22.2;46;13.1;2;2;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
